GM 1 Audi. Max.- ARCH-INF;491;;Zentral;Verfügbar;Plus Energie Büro Hochhaus;Getreidemarkt 9, Bauteil BA Hochhaus, EG;BAU178A;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BAU178A
GM 2 Radinger Hörsaal - TCH;240;;Zentral;Verfügbar;Hoftrakt;Lehargasse 6, Bauteil BD Hoftrakt, 1.OG;BD01B33;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BD01B33
GM 3 Vortmann Hörsaal - VT;102;;Zentral;Verfügbar;Plus Energie Büro Hochhaus;Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG;BA02A05;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BA02A05
GM 4 Knoller Hörsaal - VT;104;;Zentral;Verfügbar;Hoftrakt;Lehargasse 6, Bauteil BD Hoftrakt, 2.OG;BD02D32;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BD02D32
GM 5 Praktikum HS- TCH;232;;Zentral;Verfügbar;Plus Energie Büro Hochhaus;Getreidemarkt 9, Bauteil BA Hochhaus, 2.UG;BAU276A;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BAU276A
GM 7 Kleiner Schiffbau;30;;Zentral;Verfügbar;Hoftrakt;Lehargasse 6, Bauteil BD Hoftrakt, 1.OG;BD01B41;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BD01B41
GM 8/9 - Hörsaal des Internationalen Wiener Motorensymposiums;96;;Zentral;Verfügbar;Hoftrakt;Lehargasse 6, Bauteil BD Hoftrakt, 2.OG;BD02B33;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BD02B33
HS 13 Ernst Melan - RPL;160;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, Stiege 7;AE0239;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AE0239
HS 14A Günther Feuerstein;102;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, Stiege 3, 3. Stock;AB0306;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AB0306
HS 17 Friedrich Hartmann - ARCH;211;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, Stiege 7, 3. Stock;AE0341;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AE0341
HS 18 Czuber - MB;200;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, zw.Stiege 2 u. 8, 2. Stock;AE0238;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AE0238
HS 7 Schütte-Lihotzky - ARCH;143;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, Hof 2, Stiege 7;AHEG07;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AHEG07
HS 8 Heinz Parkus - CEE;196;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, Stiege 7;AE0141;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AE0141
HS Atrium 1;150;;Zentral;Verfügbar;ARSENAL Objekt 214;Franz-Grill-Straße 9,;OZEG80;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=OZEG80
HS Atrium 2;86;;Zentral;Verfügbar;ARSENAL Objekt 214;Franz-Grill-Straße 9,;OZEG76;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=OZEG76
HS O221;131;;Zentral;Verfügbar;Objekt 221;Franz-Grill-Straße 2-4,;OA01E29;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=OA01E29
Hauptlabor des VT-Instituts;9;E150;Nicht buchbar;Verfügbar;Loschmitdt Trakt;Getreidemarkt 9,;BI04G12;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BI04G12
Helmut Rauch Hörsaal - TPH;196;E141;Lokal;Verfügbar;Atominstitut;Stadionallee 2,;ZDEG01;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ZDEG01
Hörerlabor;22;E150;Nicht buchbar;Verfügbar;Institutsgebäude;Gumpendorfer Straße 1a,;BHEGA01;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BHEGA01
Hörerlabor BC 1;21;E150;Nicht buchbar;Verfügbar;Lehartrakt;Lehargasse 4,;BC04H01;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BC04H01
Hörerlabor BC 2;18;E150;Nicht buchbar;Verfügbar;Lehartrakt;Lehargasse 4,;BC04H11;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BC04H11
Hörerlabor BC 3;20;E150;Nicht buchbar;Verfügbar;Lehartrakt;Lehargasse 4,;BC04H21;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BC04H21
Hörerlabor BC 4;23;E150;Nicht buchbar;Verfügbar;Lehartrakt;Lehargasse 4,;BC04H31;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BC04H31
Hörerlabor BC 5;27;E150;Nicht buchbar;Verfügbar;Lehartrakt;Lehargasse 4,;BC04H41;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BC04H41
Hörerlabor BK;62;E150;Nicht buchbar;Verfügbar;Loschmitdt Trakt;Getreidemarkt 9,;BKU1B03;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BKU1B03
Hörsaal 14;36;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, Stiege 3, 3. Stock;AB0302;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AB0302
Hörsaal 15;52;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, Stiege 3, 3. Stock;AB0314;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AB0314
Hörsaal 6 - RPL;173;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13, zw. Stiege 2 u. 8;AEEG40;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AEEG40
Hörsaal AE U1 - 1 - CEE;184;;Zentral;Verfügbar;Hauptgebäude;Karlsplatz 13,;AEU141;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AEU141
Imaging MS;3;E150;Nicht buchbar;Verfügbar;Eckbau;Getreidemarkt 9,;BB04C13;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB04C13
InfLab Frogger;25;E199;Lokal;Verfügbar;Institutsgebäude;Favoritenstraße 9-11, Erdgeschoß;HGEG05;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG05
InfLab Pong;10;E199;Lokal;Verfügbar;Institutsgebäude;Favoritenstraße 9-11, Erdgeschoß;HGEG15;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG15
InfLab Q*bert;25;E199;Lokal;Verfügbar;Institutsgebäude;Favoritenstraße 9-11, Erdgeschoß;HGEG01A;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HGEG01A
Informatikhörsaal - ARCH-INF;392;;Zentral;Verfügbar;Institutsgebäude;Treitlstraße 3, Erdgeschoss;DEU116;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DEU116
Konferenzraum der Fakultät Architektur und Raumplanung;40;E299-01;Lokal;Verfügbar;Hauptgebäude;Karlsplatz 13, Hauptgebäude, Stiege 6, 4. Stock;AFDG30;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AFDG30
Labor;7;;Lokal & zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11,;HCEG13;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HCEG13
Labor;7;;Lokal & zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11,;HE0250;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HE0250
Labor - Ofenraum;9;;Lokal & zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11,;HAEG04;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HAEG04
